#dig start(32;32)
 , , , , , , , , , , , , , , , , , , , , , , , , , ,h,h,h,h,h,h,h,h,h,h,h, , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , ,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h, , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , ,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h, , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , ,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h, , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , ,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h, , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , ,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h, , , , , , , , , , , , , , 
 , , , , , , , , , , , ,h,h,h,h,h,h,h,h,h,h, , , , , ,h,h,h,h,h,h,h,h,h, , , , , ,h,h,h,h,h,h,h,h,h,h, , , , , , , , , , , , 
 , , , , , , , , , , ,h,h,h,h,h,h,h,h,h,h, , , , , , , ,h,h,h,h,h,h,h, , , , , , , ,h,h,h,h,h,h,h,h,h,h, , , , , , , , , , , 
 , , , , , , , , , ,h,h,h,h,h,h,h,h,h,h, , , , , , , , , , , , , , , , , , , , , , , ,h,h,h,h,h,h,h,h,h,h, , , , , , , , , , 
 , , , , , , , , ,h,h,h,h,h,h,h,h,h,h,h, , , , , , , , , , , , , , , , , , , , , , , ,h,h,h,h,h,h,h,h,h,h,h, , , , , , , , , 
 , , , , , , , ,h,h,h,h,h,h,h,h,h,h,h,h, , , , , , , , , , , , , , , , , , , , , , , ,h,h,h,h,h,h,h,h,h,h,h,h, , , , , , , , 
 , , , , , , ,h,h,h,h,h,h,h,h,h,h,h,h,h, , , , , , , , , , , , , , , , , , , , , , , ,h,h,h,h,h,h,h,h,h,h,h,h,h, , , , , , , 
 , , , , , ,h,h,h,h,h,h,h,h,h,h,h,h, , , , , , , , , , , , , , , , , , , , , , , , , , , ,h,h,h,h,h,h,h,h,h,h,h,h, , , , , , 
 , , , , , ,h,h,h,h,h,h,h,h,h,h,h, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,h,h,h,h,h,h,h,h,h,h,h, , , , , , 
 , , , , ,h,h,h,h,h,h,h,h,h,h, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,h,h,h,h,h,h,h,h,h,h, , , , , 
